,no,co,cl,hh,ha,hs,he,ci,cw,re,la,u1,u2,u3,le,sa,mw,pr,on,ra,h,si,nx,rp,f,hf,vu,fa,sp
472,12.080,12,080,0,0,0,0,0,0,0,0,0,0,0,U,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
473,12.104,12,104,0,0,0,0,0,0,0,0,3,2,7,U,[''],['12.494'],"[['18.02', '18.02A', '18.022']]",,0.0,0.0,0.0,1,0,0,0,12.0,1,0
474,12.110A,12,110A,0,0,0,0,0,0,0,0,2,1,3,U,[''],['12.465A'],"[['12.001', '12.11']]",,6.0,8.75,5.0,1,0,0,1,6.0,0,1
475,12.110B,12,110B,0,0,0,0,0,0,0,0,2,2,5,U,[''],['12.465B'],[['12.110A']],,6.0,8.6,7.5,0,1,0,2,9.0,0,1
476,12.12,12,12,0,0,0,0,0,0,0,0,1,1,1,U,[''],[''],[],,0.0,0.0,0.0,1,0,0,2,3.0,0,1
477,12.178,12,178,0,0,0,0,0,0,0,0,3,0,9,U,[''],['12.478'],[],,0.0,0.0,0.0,1,0,0,0,12.0,1,0
478,12.207,12,207,0,0,0,0,0,0,0,0,3,0,9,U,"['1.062', ' 18.354']",['18.3541'],"[['18.03', '18.032'], ['8.02', '8.022']]",,5.77,9.72,9.75,0,0,0,0,12.0,0,1
479,12.300,12,300,0,0,0,0,0,0,0,0,3,0,9,U,['1.071'],['1.771'],[['18.03']],,6.5,9.0,2.0,1,0,0,0,12.0,1,0
480,12.301,12,301,0,0,0,0,0,0,0,0,4,0,8,U,[''],['12.842'],"[['18.03'], ['3.091', '5.111', '5.112']]",,5.0,6.6,11.7,0,0,0,0,12.0,1,0
481,12.306,12,306,0,0,0,0,0,0,0,0,3,0,9,U,[''],"['10.571', ' 12.806']","[['18.075'], ['5.60', '5.61']]",,5.05,9.85,7.75,0,0,0,0,12.0,0,1
482,12.307,12,307,0,0,0,0,0,0,0,1,1,4,7,U,[''],[''],"[['18.02', '18.02A', '18.022'], ['8.01', '8.01L', '8.012', '8.011']]",,6.03,13.38,3.0,0,0,0,0,12.0,0,1
483,12.315,12,315,0,0,0,0,0,0,0,0,3,0,9,U,[''],['12.815'],[['12.390']],,6.0,12.5,8.0,0,0,0,0,12.0,0,1
484,12.318,12,318,0,0,0,0,0,0,0,0,3,3,6,U,[''],['12.818'],[['12.390']],,6.7,10.3,3.0,0,0,0,0,12.0,1,0
485,12.320A,12,320A,0,0,0,0,0,0,0,0,2,0,4,U,['1.070A'],[''],"[['1.060A'], ['1.061A'], ['1.106']]",,5.5,9.0,4.5,0,0,0,1,6.0,1,0
486,12.320B,12,320B,0,0,0,0,0,0,0,0,2,0,4,U,['1.070B'],[''],[['1.070A']],,6.2,7.5,3.5,0,0,0,2,6.0,1,0
487,12.330,12,330,0,0,0,0,0,0,0,0,3,0,9,U,"['1.066', ' 8.292']",[''],"[['5.60', '8.044']]",,0.0,0.0,0.0,0,0,0,0,12.0,0,1
488,12.335,12,335,0,0,0,0,0,0,0,1,2,4,6,U,[''],['12.835'],"[['3.091', '5.111', '5.112']]",,5.0,7.7,8.7,0,0,0,0,12.0,1,0
489,12.336,12,336,0,0,0,0,0,0,0,0,3,0,9,U,['1.085'],['1.855'],[['18.03']],,6.2,9.2,6.5,0,0,0,0,12.0,1,0
490,12.372,12,372,0,0,0,0,0,0,0,0,3,0,9,U,[''],['12.702'],[],,5.3,11.8,9.5,0,0,0,0,12.0,1,0
491,12.377,12,377,0,0,0,0,0,0,0,0,3,0,9,U,[''],['12.707'],[],,6.65,8.05,0.0,1,0,0,0,12.0,0,1
492,12.385,12,385,0,0,0,0,0,0,0,0,3,0,6,U,[''],"['11.373', ' 12.885']",[],,6.3,9.5,18.0,0,0,0,0,9.0,1,0
493,12.387,12,387,0,0,0,0,0,0,0,0,3,0,6,U,"['15.874', ' IDS.063']",[''],[],,6.0,6.5,14.5,0,0,0,0,9.0,1,0
494,12.390,12,390,0,0,0,0,0,0,0,0,3,0,9,U,[''],['12.800'],[['12.003']],,4.7,14.8,18.3,0,0,0,0,12.0,1,0
495,12.396,12,396,0,0,0,0,0,0,0,0,2,0,1,G,"['5.961', ' 8.396', ' 9.980', ' 18.896']",[''],[],,0.0,0.0,0.0,0,0,0,2,3.0,0,1
496,12.397,12,397,0,0,0,0,0,0,0,0,2,0,1,G,"['5.962', ' 8.397', ' 9.981', ' 18.897']",[''],[],,0.0,0.0,0.0,0,0,0,1,3.0,0,1
497,12.400,12,400,0,0,0,0,0,0,1,0,3,0,9,U,[''],[''],"[['8.01', '8.01L', '8.012', '8.011']]",,0.0,0.0,0.0,0,0,0,0,12.0,0,1
498,12.402,12,402,0,0,0,0,0,0,1,0,3,0,6,U,['8.282'],[''],"[['8.01', '8.01L', '8.012', '8.011']]",,6.45,8.4,20.5,0,0,1,0,9.0,0,1
499,12.409,12,409,0,0,0,0,0,0,0,0,1,3,2,U,[''],[''],[],,6.78,4.13,24.75,0,0,0,0,6.0,0,1
500,12.410,12,410,0,0,0,0,0,0,0,1,3,4,8,U,['8.287'],[''],"[['8.282'], ['12.409']]",,6.7,13.7,13.3,0,0,0,0,15.0,1,0
501,12.420,12,420,0,0,0,0,0,0,0,0,3,0,9,U,[''],['12.601'],[['12.002']],,5.6,11.0,11.0,1,0,0,0,12.0,1,0
502,12.421,12,421,0,0,0,0,0,0,0,0,3,0,9,U,[''],['12.621'],"[['6.100A'], ['8.02', '8.022']]",,6.2,9.0,12.0,1,0,0,0,12.0,1,0
503,12.425,12,425,0,0,0,0,0,0,1,0,3,0,9,U,['8.290'],['12.625'],"[['8.03'], ['18.03']]",,7.0,8.5,15.0,0,0,0,0,12.0,1,0
504,12.43,12,43,0,0,0,0,0,0,0,0,3,3,6,U,['16.83'],[''],[],,4.55,13.63,28.5,0,0,0,0,12.0,1,1
505,12.444,12,444,0,0,0,0,0,0,0,0,3,0,9,G,[''],['12.012'],[['18.06']],,5.2,8.8,5.0,0,0,0,0,12.0,1,0
506,12.446,12,446,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
507,12.465A,12,465A,0,0,0,0,0,0,0,0,2,1,3,G,[''],['12.110A'],[],,6.0,8.75,5.0,1,0,0,1,6.0,0,1
508,12.465B,12,465B,0,0,0,0,0,0,0,0,2,2,5,G,[''],['12.110B'],[['12.456']],,6.0,8.6,7.5,0,1,0,2,9.0,0,1
509,12.467,12,467,0,0,0,0,0,0,0,0,2,0,1,G,[''],[''],[],,4.43,2.0,2.67,0,1,0,0,3.0,0,1
510,12.478,12,478,0,0,0,0,0,0,0,0,3,0,9,G,[''],['12.178'],[],,0.0,0.0,0.0,1,0,0,0,12.0,1,0
511,12.493,12,493,0,0,0,0,0,0,0,0,4,0,8,G,"['1.87', ' 7.493', ' 20.446']",[''],"[['7.03'], ['7.05']]",,6.0,10.7,12.3,0,0,0,0,12.0,1,0
512,12.525,12,525,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,0.0,0.0,0.0,1,0,0,0,12.0,1,0
513,12.540,12,540,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],"[['18.06'], ['18.02', '18.02A', '18.022'], ['8.01', '8.01L', '8.012', '8.011']]",,6.9,10.0,5.5,0,0,0,0,12.0,0,1
514,12.571,12,571,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,0.0,0.0,0.0,1,1,0,0,0.0,0,1
515,12.601,12,601,0,0,0,0,0,0,0,0,3,0,9,G,[''],['12.420'],"[['8.03'], ['18.03']]",,5.6,11.0,11.0,1,0,0,0,12.0,1,0
516,12.603,12,603,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,6.3,7.83,5.0,1,0,0,0,12.0,0,1
517,12.621,12,621,0,0,0,0,0,0,0,0,3,0,9,G,[''],['12.421'],"[['6.100A'], ['8.02', '8.022']]",,6.2,9.0,12.0,1,0,0,0,12.0,1,0
518,12.625,12,625,0,0,0,0,0,0,0,0,3,0,9,G,[''],"['8.290', ' 12.425']","[['8.03'], ['18.03']]",,7.0,8.5,15.0,0,0,0,0,12.0,1,0
519,12.650,12,650,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,7.0,8.3,6.0,1,1,0,0,12.0,1,0
520,12.701,12,701,0,0,0,0,0,0,0,0,3,0,3,G,[''],[''],[],,6.65,8.15,3.5,0,0,0,0,6.0,0,1
521,12.702,12,702,0,0,0,0,0,0,0,0,3,0,9,G,[''],['12.372'],[],,5.3,11.8,9.5,0,0,0,0,12.0,1,0
522,12.703,12,703,0,0,0,0,0,0,0,0,3,0,3,G,[''],[''],[],,6.2,6.1,6.0,0,0,0,0,6.0,1,0
523,12.707,12,707,0,0,0,0,0,0,0,0,3,0,9,G,[''],['12.377'],[],,6.65,8.05,6.0,1,0,0,0,12.0,0,1
524,12.708,12,708,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,6.5,6.7,3.7,0,1,0,0,0.0,1,0
525,12.710,12,710,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,1.9,8.2,5.0,0,0,1,0,12.0,1,0
526,12.712,12,712,0,0,0,0,0,0,0,0,3,0,6,G,[''],[''],[],,0.0,0.0,0.0,1,1,0,0,9.0,1,0
527,12.718,12,718,0,0,0,0,0,0,0,0,3,0,6,G,[''],[''],[],,0.0,0.0,0.0,1,0,0,0,9.0,1,0
528,12.741,12,741,0,0,0,0,0,0,0,0,2,0,7,G,[''],[''],[],,0.0,0.0,0.0,1,0,0,0,9.0,1,0
529,12.742,12,742,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,4.9,17.5,10.0,0,0,0,0,12.0,1,0
530,12.743,12,743,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],"[['5.60'], ['3.091', '5.111', '5.112']]",,5.9,7.05,4.0,1,0,0,0,12.0,0,1
531,12.744,12,744,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,4.7,13.4,10.5,1,0,0,0,12.0,0,1
532,12.747,12,747,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,6.8,12.0,8.0,1,0,0,0,12.0,1,0
533,12.751,12,751,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,0
534,12.752,12,752,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,6.8,6.7,4.0,0,1,0,0,0.0,0,1
535,12.753,12,753,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,6.7,5.279999999999999,8.25,0,1,0,0,0.0,0,1
536,12.756,12,756,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,5.8,12.2,13.0,0,1,0,0,0.0,1,1
537,12.757,12,757,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,6.3,4.7,6.0,0,1,0,0,0.0,1,0
538,12.759,12,759,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,6.27,4.97,9.25,0,1,0,0,0.0,0,1
539,12.800,12,800,0,0,0,0,0,0,0,0,3,0,9,G,[''],['12.390'],"[['8.03'], ['18.04']]",,4.7,14.8,18.3,0,0,0,0,12.0,1,0
540,12.801,12,801,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[['12.800']],,6.03,11.93,5.75,0,0,0,0,12.0,0,1
541,12.802,12,802,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[['12.800']],,5.9,13.62,4.75,0,0,0,0,12.0,0,1
542,12.805,12,805,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,6.4,8.8,6.0,1,0,0,0,12.0,1,0
543,12.806,12,806,0,0,0,0,0,0,0,0,3,0,9,G,['10.571'],['12.306'],"[['18.075'], ['5.60', '5.61']]",,5.05,9.85,7.75,0,0,0,0,12.0,0,1
544,12.807,12,807,0,0,0,0,0,0,0,0,3,0,9,G,"['1.84', ' 10.817']",[''],[['5.60']],,6.8,10.8,13.5,0,0,0,0,12.0,1,0
545,12.808,12,808,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,5.3,9.9,15.0,0,0,0,0,12.0,1,0
546,12.810,12,810,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[['12.800']],,6.4,10.9,8.0,0,0,0,0,12.0,0,1
547,12.815,12,815,0,0,0,0,0,0,0,0,3,0,9,G,[''],['12.315'],[['12.800']],,5.73,15.8,7.33,0,0,0,0,12.0,0,1
548,12.817,12,817,0,0,0,0,0,0,0,0,3,0,9,G,['1.841'],[''],[['1.84']],,6.85,7.9,6.5,1,0,0,0,12.0,0,1
549,12.818,12,818,0,0,0,0,0,0,0,0,3,3,6,G,[''],['12.318'],[['12.800']],,6.7,10.3,3.0,0,0,0,0,12.0,1,0
550,12.823,12,823,0,0,0,0,0,0,0,0,3,0,6,G,[''],[''],"[['18.075', '18.085']]",,6.5,7.0,2.0,1,0,0,0,9.0,0,1
551,12.834,12,834,0,0,0,0,0,0,0,0,2,0,4,G,['1.713'],[''],[],,0.0,0.0,0.0,1,0,0,0,6.0,0,1
552,12.835,12,835,0,0,0,0,0,0,0,0,2,4,6,G,[''],['12.335'],[],,5.0,7.7,8.7,0,0,0,0,12.0,1,0
553,12.842,12,842,0,0,0,0,0,0,0,0,4,0,8,G,[''],['12.301'],"[['18.03'], ['3.091', '5.111', '5.112']]",,5.0,6.6,11.7,0,0,0,0,12.0,1,0
554,12.843,12,843,0,0,0,0,0,0,0,0,2,4,9,G,[''],[''],"[['12.801'], ['12.810']]",,5.3,15.7,2.7,0,0,0,0,15.0,1,0
555,12.860,12,860,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,6.1,14.6,9.0,0,0,0,0,12.0,1,0
556,12.862,12,862,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[['12.800']],,5.9,10.1,7.0,1,0,0,0,12.0,1,0
557,12.870,12,870,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,5.0,6.0,2.0,1,0,0,0,12.0,0,1
558,12.885,12,885,0,0,0,0,0,0,0,0,3,0,6,G,['11.373'],['12.385'],[],,6.3,9.5,18.0,0,0,0,0,9.0,1,0
559,12.900,12,900,0,0,0,0,0,0,0,0,4,0,2,G,[''],[''],[],,5.4,2.8,15.0,0,0,0,0,6.0,1,0
560,12.950,12,950,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
561,12.970,12,970,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,7.0,27.0,21.0,0,1,0,0,0.0,1,1
562,12.971,12,971,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
563,12.980,12,980,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
564,12.981,12,981,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
565,12.982,12,982,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
566,12.983,12,983,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
567,12.S083,12,S083,0,0,0,0,0,0,0,0,0,0,0,U,[''],[''],[],,0.0,0.0,0.0,0,0,0,0,0.0,1,1
568,12.S492,12,S492,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,6.44,10.34,3.0,0,1,0,0,0.0,0,1
569,12.S591,12,S591,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,7.0,6.0,4.0,0,1,0,0,0.0,1,1
570,12.S592,12,S592,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,5.7,7.9,4.7,0,1,0,0,0.0,1,1
571,12.S593,12,S593,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,6.67,5.83,4.67,0,1,0,0,0.0,0,1
572,12.S596,12,S596,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
573,12.S680,12,S680,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,6.0,20.7,7.0,0,1,0,0,0.0,1,0
574,12.THG,12,THG,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,6.3,45.9,80.3,0,1,0,0,0.0,1,1
575,12.THU,12,THU,0,0,0,0,0,0,0,0,0,0,0,U,[''],[''],[['12.TIP']],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
576,12.TIP,12,TIP,0,0,0,0,0,0,0,0,2,0,4,U,[''],[''],[],,6.6,7.7,7.0,0,0,0,0,6.0,1,1
577,12.UAR,12,UAR,0,0,0,0,0,0,0,0,2,0,4,U,"['1.UAR', ' 3.UAR', ' 5.UAR', ' 15.UAR', ' 22.UAR']",[''],[],,0.0,0.0,0.0,0,1,0,0,6.0,1,1
578,12.UR,12,UR,0,0,0,0,0,0,0,0,0,0,0,U,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
579,12.URG,12,URG,0,0,0,0,0,0,0,0,0,0,0,U,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
580,14.001,14,001,0,0,0,0,0,0,0,0,0,1,0,G,[''],[''],[],,0.0,0.0,0.0,0,0,0,0,1.0,1,1
581,14.003,14,003,0,0,0,0,0,0,0,0,4,0,8,G,[''],['14.03'],[['14.01']],,5.97,9.97,49.75,0,0,1,0,12.0,1,1
582,14.009,14,009,0,0,0,0,0,0,0,0,1,0,2,U,[''],[''],[],,5.8,2.2,99.0,0,0,0,0,3.0,1,0
583,14.01,14,01,0,0,1,0,0,0,0,0,3,0,9,U,[''],[''],[],,5.29,7.4,226.38,0,0,1,0,12.0,1,1
584,14.02,14,02,0,0,1,0,0,0,0,0,3,0,9,U,[''],[''],[],,5.28,6.55,145.62,0,0,0,0,12.0,1,1
585,14.03,14,03,0,0,1,0,0,0,0,0,4,0,8,U,[''],['14.003'],[['14.01']],,5.97,9.97,49.75,0,0,1,0,12.0,1,1
586,14.04,14,04,0,0,1,0,0,0,0,0,4,0,8,U,[''],[''],"[['14.01'], ['18.02', '18.02A', '18.022']]",,5.0,8.9,28.5,0,0,1,0,12.0,1,0
587,14.05,14,05,0,0,1,0,0,0,0,0,4,0,8,U,[''],[''],"[['14.01'], ['14.02']]",,5.2,9.8,30.5,0,0,0,0,12.0,1,0
588,14.06,14,06,0,0,1,0,0,0,0,0,4,0,8,U,[''],[''],"[['14.01'], ['14.02']]",,4.9,9.8,22.0,0,0,0,0,12.0,1,0
589,14.08,14,08,0,0,0,0,0,0,0,0,4,0,8,U,[''],[''],[['14.01']],,0.0,0.0,0.0,0,1,0,0,12.0,1,1
590,14.09,14,09,0,0,0,0,0,0,0,0,0,0,0,U,[''],[''],"[['14.04'], ['14.06']]",,0.0,0.0,0.0,0,1,0,0,0.0,1,1
591,14.10,14,10,0,0,0,0,0,0,0,0,0,0,0,U,[''],[''],"[['14.04'], ['14.06']]",,0.0,0.0,0.0,0,1,0,0,0.0,1,1
592,14.12,14,12,0,0,1,0,0,0,0,0,4,0,8,U,[''],[''],"[['14.01'], ['6.041B'], ['14.04'], ['14.30'], ['18.05']]",,5.4,9.9,31.7,0,0,1,0,12.0,1,0
593,14.121,14,121,0,0,0,0,0,0,0,0,3,0,3,G,[''],[''],[['14.04']],,5.6,14.1,32.3,0,0,1,1,6.0,1,0
594,14.122,14,122,0,0,0,0,0,0,0,0,3,0,3,G,[''],[''],[['14.121']],,6.4,10.1,31.3,0,0,1,2,6.0,1,0
595,14.123,14,123,0,0,0,0,0,0,0,0,3,0,3,G,[''],[''],"[['14.121'], ['14.122']]",,5.3,10.47,32.5,0,0,0,1,6.0,0,1
596,14.124,14,124,0,0,0,0,0,0,0,0,3,0,3,G,[''],[''],[['14.123']],,5.9,10.72,31.5,0,0,0,2,6.0,0,1
597,14.126,14,126,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[['14.122']],,6.05,11.44,8.25,0,0,0,0,12.0,0,1
598,14.13,14,13,0,0,1,0,0,0,0,0,4,0,8,U,[''],['14.131'],[['14.01']],,6.45,7.800000000000001,51.5,0,0,1,0,12.0,0,1
599,14.130,14,130,0,0,0,0,0,0,0,0,2,0,10,G,[''],[''],"[['14.121'], ['14.451']]",,7.0,10.0,8.0,0,1,0,0,12.0,1,0
600,14.131,14,131,0,0,0,0,0,0,0,0,4,0,8,G,[''],['14.13'],[['14.01']],,6.45,7.800000000000001,0.0,0,0,1,0,12.0,0,1
601,14.137,14,137,0,0,0,0,0,0,0,0,4,0,8,G,['9.822'],[''],[],,6.42,6.529999999999999,9.5,0,0,0,0,12.0,0,1
602,14.16,14,16,0,0,1,0,0,0,0,0,4,0,8,U,[''],['14.161'],[['14.01']],,5.07,7.34,23.0,0,0,1,0,12.0,0,1
603,14.160,14,160,0,0,0,0,0,0,0,0,4,0,8,G,[''],[''],[['14.122']],,6.53,10.63,8.0,0,0,0,0,12.0,0,1
604,14.161,14,161,0,0,0,0,0,0,0,0,4,0,8,G,[''],['14.16'],[['14.01']],,5.07,7.34,0.0,0,0,0,0,12.0,0,1
605,14.18,14,18,0,0,1,0,0,0,0,0,4,0,8,U,[''],[''],"[['14.04', '14.12', '14.15', '14.19']]",,7.0,9.0,3.0,0,0,0,0,12.0,0,1
606,14.191,14,191,0,0,0,0,0,0,0,0,0,12,0,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,12.0,1,1
607,14.192,14,192,0,0,0,0,0,0,0,0,2,4,6,G,[''],[''],"[['14.124'], ['14.382'], ['14.454']]",,0.0,0.0,0.0,0,1,0,0,12.0,1,1
608,14.193,14,193,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],"[['14.121'], ['14.451']]",,0.0,0.0,0.0,0,1,0,0,0.0,1,1
609,14.195,14,195,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[['14.121']],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
610,14.197,14,197,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,6.0,9.3,3.0,0,1,0,0,0.0,1,1
611,14.198,14,198,0,0,0,0,0,0,0,0,2,0,2,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,4.0,1,1
612,14.199,14,199,0,0,0,0,0,0,0,0,2,0,2,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,4.0,1,1
613,14.20,14,20,0,0,1,0,0,0,0,0,4,0,8,U,[''],['14.200'],[['14.01']],,6.3,8.469999999999999,20.0,0,0,1,0,12.0,0,1
614,14.200,14,200,0,0,0,0,0,0,0,0,4,0,8,G,[''],['14.20'],[['14.01']],,6.3,8.469999999999999,0.0,0,0,1,0,12.0,0,1
615,14.26,14,26,0,0,1,0,0,0,0,0,4,0,8,U,['15.039'],['14.260'],[['14.01']],,6.3,7.81,26.0,0,0,1,0,12.0,0,1
616,14.260,14,260,0,0,0,0,0,0,0,0,4,0,8,G,[''],"['14.26', ' 15.039']",[],,6.3,7.81,0.0,0,0,1,0,12.0,0,1
617,14.271,14,271,0,0,0,0,0,0,0,0,5,0,7,G,[''],[''],"[['14.122'], ['14.381']]",,6.0,13.7,19.3,0,0,1,0,12.0,1,0
618,14.272,14,272,0,0,0,0,0,0,0,0,5,0,7,G,[''],[''],[['14.271']],,5.63,9.6,8.25,0,0,1,0,12.0,0,1
619,14.273,14,273,0,0,0,0,0,0,0,0,5,0,7,G,[''],[''],[['14.271']],,6.05,14.81,13.25,0,0,0,0,12.0,0,1
620,14.281,14,281,0,0,0,0,0,0,0,0,4,0,8,G,[''],[''],[['14.124']],,6.3,10.4,8.0,0,0,1,0,12.0,1,0
621,14.282,14,282,0,0,0,0,0,0,0,0,5,0,7,G,[''],[''],[['14.124']],,6.6,12.1,7.0,0,0,1,0,12.0,1,0
622,14.283,14,283,0,0,0,0,0,0,0,0,2,0,4,G,[''],[''],[['14.282']],,6.5,12.8,6.25,0,0,0,1,6.0,0,1
623,14.284,14,284,0,0,0,0,0,0,0,0,2,0,4,G,[''],[''],[['14.282']],,6.9,10.54,4.33,0,0,0,2,6.0,0,1
624,14.30,14,30,0,0,0,0,0,0,1,0,4,0,8,U,[''],['14.300'],"[['18.02', '18.02A', '18.022']]",,4.7,8.3,57.0,0,0,1,0,12.0,1,0
625,14.300,14,300,0,0,0,0,0,0,0,0,4,0,8,G,[''],['14.30'],"[['18.02', '18.02A', '18.022']]",,4.7,8.3,57.0,0,0,1,0,12.0,1,0
626,14.32,14,32,0,0,0,0,0,0,0,1,4,4,4,U,[''],['14.320'],[['14.30']],,5.99,8.86,21.0,0,0,1,0,12.0,1,1
627,14.320,14,320,0,0,0,0,0,0,0,0,4,4,4,G,[''],['14.32'],[['14.300']],,5.99,8.86,0.0,0,0,1,0,12.0,1,1
628,14.33,14,33,0,0,1,0,0,0,0,0,3,4,5,U,[''],[''],"[['14.32'], ['14.01', '14.02']]",,6.26,10.86,10.38,0,0,0,0,12.0,1,1
629,14.380,14,380,0,0,0,0,0,0,0,0,3,0,3,G,[''],[''],[['14.32']],,6.2,9.7,35.5,0,0,0,1,6.0,1,0
630,14.381,14,381,0,0,0,0,0,0,0,0,3,0,3,G,[''],[''],[['14.380']],,5.5,11.4,42.0,0,0,1,2,6.0,1,0
631,14.382,14,382,0,0,0,0,0,0,0,0,5,0,7,G,[''],[''],[['14.381']],,6.3,12.53,46.0,0,0,0,0,12.0,0,1
632,14.385,14,385,0,0,0,0,0,0,0,0,5,0,7,G,[''],[''],[['14.382']],,5.5,10.1,26.0,0,0,0,0,12.0,1,0
633,14.386,14,386,0,0,0,0,0,0,0,0,4,0,8,G,[''],[''],[['14.382']],,6.0,2.0,1.0,0,0,0,0,12.0,0,1
634,14.391,14,391,0,0,0,0,0,0,0,0,2,0,10,G,[''],[''],"[['14.124'], ['14.454']]",,0.0,0.0,0.0,0,1,0,0,12.0,1,0
635,14.392,14,392,0,0,0,0,0,0,0,0,2,0,10,G,[''],[''],"[['14.124'], ['14.454']]",,0.0,0.0,0.0,0,1,0,0,12.0,0,1
636,14.399,14,399,0,0,0,0,0,0,0,0,2,0,10,G,[''],[''],[],,0.0,0.0,0.0,0,0,0,0,12.0,0,1
637,14.41,14,41,0,0,1,0,0,0,0,0,4,0,8,U,[''],[''],[['14.01']],,6.0,9.5,72.7,0,0,1,0,12.0,1,0
638,14.416,14,416,0,0,0,0,0,0,0,0,4,0,8,G,['15.470'],[''],[],,5.6,15.5,15.7,0,0,1,0,12.0,1,0
639,14.43,14,43,0,0,1,0,0,0,0,0,3,0,9,U,['15.0201'],[''],"[['14.01'], ['15.0111']]",,6.7,8.4,13.0,0,0,0,0,12.0,1,0
640,14.440,14,440,0,0,0,0,0,0,0,0,3,0,9,G,['15.473'],[''],[],,5.75,19.55,9.0,0,0,1,0,12.0,0,1
641,14.441,14,441,0,0,0,0,0,0,0,0,3,0,9,G,['15.471'],[''],[],,6.53,12.87,10.33,0,0,1,0,12.0,0,1
642,14.442,14,442,0,0,0,0,0,0,0,0,3,0,9,G,['15.472'],[''],[],,6.4,19.1,7.0,0,0,0,0,12.0,1,0
643,14.448,14,448,0,0,0,0,0,0,0,0,3,0,9,G,['15.474'],[''],[],,7.0,9.5,0.0,0,1,0,0,12.0,0,1
644,14.449,14,449,0,0,0,0,0,0,0,0,3,0,3,G,['15.475'],[''],[],,0.0,0.0,0.0,0,1,0,0,6.0,1,1
645,14.451,14,451,0,0,0,0,0,0,0,0,3,0,3,G,[''],[''],[['14.06']],,5.8,14.0,26.7,0,0,0,1,6.0,1,0
