,no,co,cl,hh,ha,hs,he,ci,cw,re,la,u1,u2,u3,le,sa,mw,pr,on,ra,h,si,nx,rp,f,hf,vu,fa,sp
2080,22.S097,22,S097,0,0,0,0,0,0,0,0,0,0,0,U,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,0,1
2081,22.S905,22,S905,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,0
2082,22.THG,22,THG,0,0,0,0,0,0,0,0,0,0,0,G,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
2083,22.THT,22,THT,0,0,0,0,0,0,0,0,1,0,2,U,[''],[''],[],,4.5,7.5,5.0,0,0,0,0,3.0,1,0
2084,22.THU,22,THU,0,0,0,0,0,0,0,0,0,0,0,U,[''],[''],[['22.THT']],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
2085,22.UAR,22,UAR,0,0,0,0,0,0,0,0,2,0,4,U,"['1.UAR', ' 3.UAR', ' 5.UAR', ' 12.UAR', ' 15.UAR']",[''],[],,0.0,0.0,0.0,0,1,0,0,6.0,1,1
2086,22.UR,22,UR,0,0,0,0,0,0,0,0,0,0,0,U,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
2087,22.URG,22,URG,0,0,0,0,0,0,0,0,0,0,0,U,[''],[''],[],,0.0,0.0,0.0,0,1,0,0,0.0,1,1
2088,24.00,24,00,1,0,0,0,1,0,0,0,3,0,9,U,[''],[''],[],,5.6,6.8,107.7,0,0,0,0,12.0,1,0
2089,24.02,24,02,1,0,0,0,1,0,0,0,3,0,9,U,[''],[''],[],,5.7,6.800000000000001,61.33,0,0,0,0,12.0,0,1
2090,24.04,24,04,1,0,0,0,1,0,0,0,3,0,9,U,['17.01'],[''],[],,5.75,7.75,48.75,0,0,0,0,12.0,0,1
2091,24.05,24,05,1,0,0,0,1,0,0,0,3,0,9,U,[''],[''],[],,5.93,7.66,33.33,0,0,0,0,12.0,0,1
2092,24.06,24,06,1,0,0,0,1,0,0,0,3,0,9,U,['STS.006'],[''],[],,5.2,6.6,75.0,1,0,0,0,12.0,1,0
2093,24.09,24,09,1,0,0,0,1,0,0,0,3,0,9,U,[''],[''],[],,5.8,7.0,62.0,0,0,0,0,12.0,1,0
2094,24.118,24,118,1,0,0,0,0,0,0,0,3,0,9,U,[''],[''],[],,6.05,6.42,78.25,0,0,0,0,12.0,0,1
2095,24.131,24,131,1,0,0,0,0,0,0,0,3,0,9,U,[''],[''],[],,0.0,0.0,0.0,0,0,0,0,12.0,0,1
2096,24.133,24,133,0,0,0,0,0,0,0,0,1,0,2,U,[''],[''],[],,6.2,2.8,30.0,0,0,0,0,3.0,1,0
2097,24.140,24,140,1,0,0,0,0,0,0,0,3,0,9,U,['21L.452'],[''],[],,0.0,0.0,0.0,0,0,0,0,12.0,0,1
2098,24.150,24,150,1,0,0,0,0,0,0,0,3,0,9,U,[''],[''],[],,0.0,0.0,0.0,0,0,0,0,12.0,1,0
2099,24.191,24,191,0,0,0,0,0,0,0,0,2,0,4,U,[''],[''],[],,6.62,3.18,17.25,0,0,0,0,6.0,0,1
2100,24.201,24,201,1,0,0,0,0,0,0,0,3,0,9,U,[''],[''],[],,6.7,8.1,11.0,0,1,0,0,12.0,1,1
2101,24.211,24,211,1,0,0,0,0,0,0,0,3,0,9,U,[''],[''],[],,6.1,6.8,20.0,0,0,0,0,12.0,1,0
2102,24.212,24,212,1,0,0,0,0,0,0,0,3,0,9,U,[''],[''],[],,5.8,7.2,16.5,0,0,0,0,12.0,1,0
2103,24.213,24,213,1,0,0,0,0,0,0,0,3,0,9,U,[''],[''],[],,0.0,0.0,0.0,1,0,0,0,12.0,0,1
2104,24.215,24,215,1,0,0,0,0,0,0,0,3,0,9,U,[''],[''],[],,6.5,7.1,12.0,0,1,0,0,12.0,1,0
2105,24.221,24,221,1,0,0,0,0,0,0,0,3,0,9,U,[''],[''],[],,6.9,5.2,17.5,0,0,0,0,12.0,1,0
2106,24.231,24,231,1,0,0,0,0,0,0,0,3,0,9,U,[''],[''],[],,6.6,7.8,17.5,0,0,0,0,12.0,1,0
2107,24.234,24,234,0,0,0,0,0,0,0,0,3,0,9,U,[''],['24.634'],[],,2.0,6.5,3.0,0,0,0,0,12.0,1,0
2108,24.237,24,237,1,0,0,0,0,0,0,0,3,0,9,U,"['17.007', ' WGS.301']","['17.006', ' 24.637']",[],,6.45,8.17,18.0,0,0,0,0,12.0,0,1
2109,24.241,24,241,1,0,0,0,0,0,0,0,3,0,9,U,[''],[''],[],,4.3,7.3,30.0,0,0,1,0,12.0,1,0
2110,24.251,24,251,1,0,0,0,0,0,0,0,3,0,9,U,[''],[''],[],,6.55,7.9,13.5,0,0,0,0,12.0,0,1
2111,24.260,24,260,1,0,0,0,0,0,0,0,3,0,9,U,[''],[''],[],,6.6,7.7,12.0,0,0,0,0,12.0,1,0
2112,24.280,24,280,1,0,0,0,0,0,0,0,3,0,9,U,[''],[''],[],,4.7,6.3100000000000005,18.0,0,0,0,0,12.0,1,1
