no,c1,c2,ch,bio,p1,p2,p-64,f-64,m2-64,m3-64,dac-64,moc-64,dec-64,coc-64,huc-64,cim-64,cim2-64,serc,aus,eecs
EC.090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.8300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21W.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.5151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
10.966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20.460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMS.S60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21W.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.UAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDS.336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.4840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18.200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.7003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.S988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP.360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.4550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21G.040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WGS.140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WGS.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMS.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES.S70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCM.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCM.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HST.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21L.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15.3901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.S905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMS.150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCM.C51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18.900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.S939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.S14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21A.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HST.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.110A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18.748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.7100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21W.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMS.336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.C20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21W.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HST.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STS.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21L.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HST.090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.S32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAS.826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3900,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
5.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21L.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WGS.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMS.590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.494A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.100A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17.310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WGS.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.S077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.7830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21W.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21W.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.723B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.4860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
18.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.S984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21W.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.C01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES.1802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3720,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11.THG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAS.836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EM.S21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HST.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.8210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21L.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMS.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCM.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.723A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.9130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HST.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.8471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21H.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.S095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAS.S68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STS.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.8731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAS.S66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.S942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.6220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.4371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.9030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
21G.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EM.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WGS.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.S952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.494B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21L.611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
6.1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
21G.452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMS.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.2370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
6.3702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES.1803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.C01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.S992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.C51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21A.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAS.859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.00B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
