no,c1,c2,ch,bio,p1,p2,p-64,f-64,m2-64,m3-64,dac-64,moc-64,dec-64,coc-64,huc-64,cim-64,cim2-64,serc,aus,eecs
CMS.593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAS.S60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.7800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
