,no,hh,ha,hs,he,ci,cw,re,la,u1,u2,u3,le,mw,sa,pr,ra,h,co_1,co_10,co_11,co_12,co_14,co_15,co_16,co_17,co_18,co_2,co_20,co_21,co_21A,co_21G,co_21H,co_21L,co_21M,co_21W,co_22,co_24,co_3,co_4,co_5,co_6,co_7,co_8,co_9,co_AS,co_CC,co_CDO,co_CMS,co_CSB,co_CSE,co_EC,co_EM,co_ES,co_ESD,co_HST,co_IDS,co_MAS,co_MS,co_NS,co_OR,co_RED,co_SCM,co_SDM,co_SP,co_STS,co_WGS,has_pr,avg_pr_ra,max_pr_ra,avg_pr_h,max_pr_h
1540,20.C01,0,0,0,0,0,0,0,0,2,0,4,0,"['3.C51', ' 10.C51', ' 20.C51']","['3.C01', ' 10.C01']","[['6.100A'], ['18.02', '18.02A', '18.022']]",5.987616359476217,8.436239697231752,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.6475,6.0,10.6075,12.23
1541,20.C51,0,0,0,0,0,0,0,0,2,0,4,1,"['3.C01', ' 10.C01', ' 20.C01']","['3.C51', ' 10.C51']","[['6.100A'], ['18.02', '18.02A', '18.022']]",6.1365137064681745,10.357058325834558,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.6475,6.0,10.6075,12.23
1542,20.EPE,0,0,0,0,0,0,0,0,0,0,1,0,[''],[''],[],6.12148999177777,7.693819708494738,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1543,20.EPW,0,0,0,0,0,0,0,0,1,0,0,0,[''],[''],[['2.EPE']],5.431718864042706,7.057050718415319,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
1544,20.S900,0,0,0,0,0,0,0,0,0,0,0,0,[''],[''],[],6.9,1.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1545,20.S901,0,0,0,0,0,0,0,0,0,0,0,0,[''],[''],[],6.2,1.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1546,20.S940,0,0,0,0,0,0,0,0,0,0,0,0,[''],[''],[],6.12534995903286,7.569571828739477,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1547,20.S947,0,0,0,0,0,0,0,0,0,0,0,1,[''],[''],[],6.274247306024817,9.490390457342281,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1548,20.S948,0,0,0,0,0,0,0,0,0,0,0,1,[''],[''],[],7.0,10.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1549,20.S949,0,0,0,0,0,0,0,0,0,0,0,1,[''],[''],[],6.274247306024817,9.490390457342281,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1550,20.S952,0,0,0,0,0,0,0,0,0,0,0,1,[''],[''],[],7.0,15.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1551,20.THG,0,0,0,0,0,0,0,0,0,0,0,1,[''],[''],[],6.274247306024817,9.490390457342281,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1552,20.THU,0,0,0,0,0,0,0,0,0,0,0,0,[''],[''],[],6.12534995903286,7.569571828739477,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1553,20.UR,0,0,0,0,0,0,0,0,0,0,0,0,[''],[''],[],6.12534995903286,7.569571828739477,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1554,20.URG,0,0,0,0,0,0,0,0,0,0,0,0,[''],[''],[],6.12534995903286,7.569571828739477,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1555,21.THT,0,0,0,0,0,0,0,0,0,0,0,0,[''],[''],[],5.955431085757675,7.693114777268903,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1556,21.THU,0,0,0,0,0,0,0,0,0,0,0,0,[''],[''],[['21.THT']],5.317897352242022,7.532361682241847,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
